Theme ID,Theme Name,Theme Description
1,Goals,Having money goals and a strategy to achieve them give you a direction and a map to get there.
2,Wellbeing ,Financial wellbeing is often defined by feeling you have money to deal with emergencies and that you spend less than you earn so are able to save money towards your goals.
3,Budget,Creating a budget or spending plan is a key enabler of getting on top of your spending and ensuring that you can save.
4,Bank Accounts,You should setup your banks accounts to organise your money and maximise the amount of it you keep. 
5,Consumer debt ,Consumer debt eats away at your ability save and encourages you to live beyond your means.
6,Housing ,Having stable affordable housing is an important pillar of having financial wellbeing
7,Superannuation,Superannuation is a key pillar for having a financially secure and comfortable retirement. The earlier you get it sorted the more likely it is to serve you well.
8,Career-Business,You usually derive most of your income from your career or business. Is it doing its job well for you?
9,Insurances ,Having good insurance ensures that unfortunate events don't take you down.
10,Estate planning ,Having an appropriate will and powers of attorney will ensure that you and your assets end up where you want. 
11,Financial Literacy ,Financial literacy is key to understanding money and being better at it.
12,Security,"It's hard work to earn money, and it's important you protect it from bad actors that would like to take it from you"
